scientificName,species,genus,family,decimalLatitude,decimalLongitude,eventDate,depth,sst,sss,individualCount
Thunnus albacares,Thunnus albacares,Thunnus,Scombridae,-31.0387992859,30.2322998047,2000-07-12T12:00:00Z,,23.58,35.31,
Thunnus albacares,Thunnus albacares,Thunnus,Scombridae,27.33,-89.28,1995-02-15,162.0,26.11,35.82,3.0
Thunnus obesus,Thunnus obesus,Thunnus,Scombridae,18.333473,-20.166805,,,23.26,36.14,
Thunnus obesus,Thunnus obesus,Thunnus,Scombridae,0.8834722,0.41680554,,,27.62,34.7,
Thunnus alalunga,Thunnus alalunga,Thunnus,Scombridae,-34.3568992615,18.4972000122,1998-12-29T12:00:00Z,,17.19,35.43,
Thunnus obesus,Thunnus obesus,Thunnus,Scombridae,-29.75,154.25,2001,,23.4,35.48,
Thunnus alalunga,Thunnus alalunga,Thunnus,Scombridae,-34.3568992615,18.4972000122,2005-12-22T12:00:00Z,,17.19,35.43,
Thunnus albacares,Thunnus albacares,Thunnus,Scombridae,7.21806666666669,59.6707666666669,,,28.47,35.79,
Thunnus albacares,Thunnus albacares,Thunnus,Scombridae,25.6,-92.0,1996-03-25,140.0,26.31,36.21,2.0
Thunnus alalunga,Thunnus alalunga,Thunnus,Scombridae,19.0,-47.0,1996-02-26,45.0,26.37,36.63,1.0
Thunnus albacares,Thunnus albacares,Thunnus,Scombridae,-3.500139,69.55014,,,29.06,34.95,
Thunnus alalunga,Thunnus alalunga,Thunnus,Scombridae,-33.9028015137,18.4349994659,2001-11-25T12:00:00Z,,16.0,34.76,
Thunnus albacares,Thunnus albacares,Thunnus,Scombridae,38.0,-73.0,2001-09-13,22.0,18.93,35.5,2.0
Thunnus alalunga,Thunnus alalunga,Thunnus,Scombridae,38.8833332062,-69.4333305359,1999-10-02T00:00:00Z,1300.0,19.55,35.59,
Thunnus albacares,Thunnus albacares,Thunnus,Scombridae,39.83,-71.03,2001-12-15,20.0,16.29,34.43,6.0
Thunnus alalunga,Thunnus alalunga,Thunnus,Scombridae,-28.75,157.25,2001,,22.58,35.6,
Thunnus albacares,Thunnus albacares,Thunnus,Scombridae,26.25,-90.25,1995-08-12,260.0,26.32,36.05,24.0
Thunnus obesus,Thunnus obesus,Thunnus,Scombridae,42.6500015259,-52.125,1992-11-08T00:00:00Z,1100.0,13.11,33.54,
Thunnus obesus,Thunnus obesus,Thunnus,Scombridae,18.6000003815,-53.9916667938,1996-02-08T00:00:00Z,2425.0,27.03,35.87,
Thunnus albacares,Thunnus albacares,Thunnus,Scombridae,31.0,-79.11,1999-11-06,20.0,26.64,36.11,13.0
