basisOfRecord,brackish,catalogNumber,class,classid,collectionCode,country,date_end,date_mid,date_start,date_year,day,decimalLatitude,decimalLongitude,eventDate,family,familyid,genus,genusid,gigaclass,gigaclassid,infraphylum,infraphylumid,institutionCode,kingdom,kingdomid,locality,marine,month,order,orderid,parvphylum,parvphylumid,phylum,phylumid,scientificName,scientificNameID,species,speciesid,subfamily,subfamilyid,subphylum,subphylumid,superclass,superclassid,waterBody,year,id,dataset_id,node_id,dropped,absence,originalScientificName,aphiaID,flags,bathymetry,shoredistance,sst,sss,datasetID,depth,individualCount,materialSampleID,maximumDepthInMeters,minimumDepthInMeters,modified,occurrenceID,occurrenceRemarks,occurrenceStatus,scientificNameAuthorship,taxonRank,sex,category,associatedReferences,bibliographicCitation,coordinateUncertaintyInMeters,footprintWKT,specificEpithet,coordinatePrecision,verbatimCoordinates,vernacularName,dynamicProperties,identifiedBy,eventID,organismID,organismQuantity,organismQuantityType,continent,georeferenceRemarks,recordNumber,recordedBy,stateProvince
HumanObservation,True,MCM-LINE-2315524,Teleostei,293496,LINE,South Africa,963360000000.0,963360000000.0,963360000000.0,2000.0,12,-31.0387992859,30.2322998047,2000-07-12T12:00:00Z,Scombridae,125559,Thunnus,126065,Actinopterygii,10194,Gnathostomata,1828,MCM,Animalia,2,North Sand Bluff,True,7,Scombriformes,1517490,Osteichthyes,152352,Chordata,1821,Thunnus albacares,urn:lsid:marinespecies.org:taxname:127027,Thunnus albacares,127027,Scombrinae,267118,Vertebrata,146419,Actinopteri,843664,Indian,2000,00000d3e-1ac8-417b-8a65-7af94c50747d,fd13c964-0fb6-4ef4-ae89-e35fc88a9c77,['14fc439c-707d-41d6-a3d4-b9d2696205fe'],False,False,Thunnus albacares,127027,"['NO_DEPTH', 'ON_LAND']",-22.0,-14,23.58,35.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HumanObservation,True,,Teleostei,293496,Logbook Program for Coastal Fisheries,,792806400000.0,792806400000.0,792806400000.0,1995.0,,27.33,-89.28,1995-02-15,Scombridae,125559,Thunnus,126065,Actinopterygii,10194,Gnathostomata,1828,NOAA SEFSC,Animalia,2,Gulf of Mexico,True,,Scombriformes,1517490,Osteichthyes,152352,Chordata,1821,Thunnus albacares,urn:lsid:marinespecies.org:taxname:127027,Thunnus albacares,127027,Scombrinae,267118,Vertebrata,146419,Actinopteri,843664,,,000031b4-81c9-4565-b690-277699e7eb27,0ca901d4-bdc3-4136-8a66-6028f4c3ba40,['b7c47783-a020-4173-b390-7b57c4fa1426'],False,False,Thunnus albacares,127027,[],1999.0,178317,26.11,35.82,SEFSC_LogBook,162.0,3,146453,162.0,162.0,2020-08-04,5cf5d9c4-d69e-11ea-a976-776999cfb07f,For Field Number 146453:Total fish caught 19; catch per unit effort (fish per hook) 0.019,present,"(Bonnaterre, 1788)",Species,,,,,,,,,,,,,,,,,,,,,
Occurrence,False,#1306919672015#0.4045515814987244,Teleostei,293496,Patudo (IEO),,,,,,,18.333473,-20.166805,,Scombridae,125559,Thunnus,126065,Actinopterygii,10194,Gnathostomata,1828,"IRD, UMR EME, SÃ¨te, France",Animalia,2,,True,,Scombriformes,1517490,Osteichthyes,152352,Chordata,1821,Thunnus obesus,urn:lsid:marinespecies.org:taxname:127028,Thunnus obesus,127028,Scombrinae,267118,Vertebrata,146419,Actinopteri,843664,,,000049b9-4c5e-458c-8ad3-5db423a18757,5ad4244f-895a-4b9c-99be-1f88f5369023,['4bf79a01-65a9-4db6-b37b-18434f26ddfc'],False,False,Thunnus obesus,127028,['NO_DEPTH'],3211.0,333274,23.26,36.14,https://marineinfo.org/id/dataset/3127,,,,,,2013-06-20 10:40:35,"urn:catalog:IRD, UMR EME, SÃ¨te, France:Patudo (IEO):#1306919672015#0.4045515814987244:0x82CEA70101000B00",EME_1-fr.ird.observe.entities.TailleThon#1306919672015#0.4045515814987244,present,,,IND,VU,,,,,,,,,,,,,,,,,,,
Occurrence,False,#1306919544605#0.8518284173707324,Teleostei,293496,Patudo (IEO),,,,,,,0.8834722,0.41680554,,Scombridae,125559,Thunnus,126065,Actinopterygii,10194,Gnathostomata,1828,"IRD, UMR EME, SÃ¨te, France",Animalia,2,,True,,Scombriformes,1517490,Osteichthyes,152352,Chordata,1821,Thunnus obesus,urn:lsid:marinespecies.org:taxname:127028,Thunnus obesus,127028,Scombrinae,267118,Vertebrata,146419,Actinopteri,843664,,,000093f2-6cff-455c-a8d5-402422686a14,5ad4244f-895a-4b9c-99be-1f88f5369023,['4bf79a01-65a9-4db6-b37b-18434f26ddfc'],False,False,Thunnus obesus,127028,['NO_DEPTH'],4823.0,500515,27.62,34.7,https://marineinfo.org/id/dataset/3127,,,,,,2013-06-20 10:40:35,"urn:catalog:IRD, UMR EME, SÃ¨te, France:Patudo (IEO):#1306919544605#0.8518284173707324:0x6FCBA70101000100",EME_1-fr.ird.observe.entities.TailleThon#1306919544605#0.8518284173707324,present,,,IND,VU,,,,,,,,,,,,,,,,,,,
HumanObservation,False,MCM-LINE-2097139,Teleostei,293496,LINE,South Africa,914889600000.0,914889600000.0,914889600000.0,1998.0,29,-34.3568992615,18.4972000122,1998-12-29T12:00:00Z,Scombridae,125559,Thunnus,126065,Actinopterygii,10194,Gnathostomata,1828,MCM,Animalia,2,Cape Point,True,12,Scombriformes,1517490,Osteichthyes,152352,Chordata,1821,Thunnus alalunga,urn:lsid:marinespecies.org:taxname:127026,Thunnus alalunga,127026,Scombrinae,267118,Vertebrata,146419,Actinopteri,843664,Atlantic,1998,000099dc-3001-42e8-99bc-68c382a0b3d4,fd13c964-0fb6-4ef4-ae89-e35fc88a9c77,['14fc439c-707d-41d6-a3d4-b9d2696205fe'],False,False,Thunnus alalunga,127026,"['NO_DEPTH', 'ON_LAND']",-15.0,-56,17.19,35.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HumanObservation,False,37441011-3215:394:3-2001,Teleostei,293496,Comfish_2000_2002,,1009756800000.0,994032000000.0,978307200000.0,2001.0,,-29.75,154.25,2001,Scombridae,125559,Thunnus,126065,Actinopterygii,10194,Gnathostomata,1828,BRS,Animalia,2,,True,,Scombriformes,1517490,Osteichthyes,152352,Chordata,1821,Thunnus obesus,urn:lsid:marinespecies.org:taxname:127028,Thunnus obesus,127028,Scombrinae,267118,Vertebrata,146419,Actinopteri,843664,,,0000c352-da33-454a-9869-ba290f6e029c,d13ec1f1-d82a-4cdb-92e9-3f2144bf7a2e,['2a57cd59-6799-4579-955e-27c9af97aea4'],False,False,Thunnus obesus,127028,['NO_DEPTH'],4607.0,85114,23.4,35.48,,,,,,,2006-04-10T02:06:00Z,urn:catalog:BRS:Comfish_2000_2002:37441011-3215:394:3-2001,"Record indicates the presence of commercial catch records in the stated year within the stated 0.5 x 0.5 degree square. Additional information including catch weights and gross value product is available via the National Atlas of Commercial Marine Fisheries and Coastal Communities which is accessible from the BRS home page, http://www.brs.gov.au .",present,"(Lowe, 1839)",Species,,VU,Commercial catch records (aggregated by year),BRS Australia: National commercial fisheries half-degree data set - Species,50000.0,POINT (154.25 -29.75),obesus,,,,,,,,,,,,,,
HumanObservation,False,MCM-LINE-2764781,Teleostei,293496,LINE,South Africa,1135209600000.0,1135209600000.0,1135209600000.0,2005.0,22,-34.3568992615,18.4972000122,2005-12-22T12:00:00Z,Scombridae,125559,Thunnus,126065,Actinopterygii,10194,Gnathostomata,1828,MCM,Animalia,2,Cape Point,True,12,Scombriformes,1517490,Osteichthyes,152352,Chordata,1821,Thunnus alalunga,urn:lsid:marinespecies.org:taxname:127026,Thunnus alalunga,127026,Scombrinae,267118,Vertebrata,146419,Actinopteri,843664,Atlantic,2005,0000e4ae-c626-47ca-8285-def3b2bec492,fd13c964-0fb6-4ef4-ae89-e35fc88a9c77,['14fc439c-707d-41d6-a3d4-b9d2696205fe'],False,False,Thunnus alalunga,127026,"['NO_DEPTH', 'ON_LAND']",-15.0,-56,17.19,35.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Occurrence,True,EME_1-65377,Teleostei,293496,ll_YugNIRO,,,,,,,7.21806666666669,59.6707666666669,,Scombridae,125559,Thunnus,126065,Actinopterygii,10194,Gnathostomata,1828,"IRD, UMR EME, Sète, France",Animalia,2,,True,,Scombriformes,1517490,Osteichthyes,152352,Chordata,1821,Thunnus albacares,urn:lsid:marinespecies.org:taxname:127027,Thunnus albacares,127027,Scombrinae,267118,Vertebrata,146419,Actinopteri,843664,,,0000ebfd-cfeb-4147-a7f5-5e0bca4e1df8,f62024d7-1126-41a8-8dde-ff257d232c4d,['4bf79a01-65a9-4db6-b37b-18434f26ddfc'],False,False,Thunnus albacares,127027,['NO_DEPTH'],3873.0,816606,28.47,35.79,https://marineinfo.org/id/dataset/3125,,,,,,2013-06-20 10:06:23,"urn:catalog:IRD, UMR EME, Sète, France:ll_YugNIRO:EME_1-65377",,present,,,,,,,,,,,,,,,,,,,,,,,
HumanObservation,True,,Teleostei,293496,Logbook Program for Coastal Fisheries,,827712000000.0,827712000000.0,827712000000.0,1996.0,,25.6,-92.0,1996-03-25,Scombridae,125559,Thunnus,126065,Actinopterygii,10194,Gnathostomata,1828,NOAA SEFSC,Animalia,2,Gulf of Mexico,True,,Scombriformes,1517490,Osteichthyes,152352,Chordata,1821,Thunnus albacares,urn:lsid:marinespecies.org:taxname:127027,Thunnus albacares,127027,Scombrinae,267118,Vertebrata,146419,Actinopteri,843664,,,000101a8-ca00-43c7-93f9-b4a368f54da2,0ca901d4-bdc3-4136-8a66-6028f4c3ba40,['b7c47783-a020-4173-b390-7b57c4fa1426'],False,False,Thunnus albacares,127027,[],3082.0,392164,26.31,36.21,SEFSC_LogBook,140.0,2,167125,140.0,140.0,2020-08-04,5a79bdc5-d69e-11ea-a976-776999cfb07f,For Field Number 167125:Total fish caught 6; catch per unit effort (fish per hook) 0.006,present,"(Bonnaterre, 1788)",Species,,,,,,,,,,,,,,,,,,,,,
HumanObservation,False,,Teleostei,293496,Logbook Program for Coastal Fisheries,,825292800000.0,825292800000.0,825292800000.0,1996.0,,19.0,-47.0,1996-02-26,Scombridae,125559,Thunnus,126065,Actinopterygii,10194,Gnathostomata,1828,NOAA SEFSC,Animalia,2,North Central Atlantic,True,,Scombriformes,1517490,Osteichthyes,152352,Chordata,1821,Thunnus alalunga,urn:lsid:marinespecies.org:taxname:127026,Thunnus alalunga,127026,Scombrinae,267118,Vertebrata,146419,Actinopteri,843664,,,00011bf1-5197-436a-8887-e3202d995d24,0ca901d4-bdc3-4136-8a66-6028f4c3ba40,['b7c47783-a020-4173-b390-7b57c4fa1426'],False,False,Thunnus alalunga,127026,[],3944.0,1476953,26.37,36.63,SEFSC_LogBook,45.0,1,166003,45.0,45.0,2020-08-04,5944f944-d69e-11ea-a976-776999cfb07f,For Field Number 166003:Total fish caught 7; catch per unit effort (fish per hook) 0.01272727,present,"(Bonnaterre, 1788)",Species,,,,,,,,,,,,,,,,,,,,,
