id,scientificName,species,genus,family,phylum,class,eventDate,decimalLatitude,decimalLongitude,depth,minimumDepthInMeters,maximumDepthInMeters,country,locality,marine,basisOfRecord
0000a7ca-eb6e-493a-a44d-3ae09752f559,Ariidae,,,Ariidae,Chordata,Teleostei,2023-01-09,21.7933133,89.2810876,,,,,Sundarban west wildlife sanctuary,True,MachineObservation
0000c880-c63b-4023-b86f-0676908549f0,Coryphaena hippurus,Coryphaena hippurus,Coryphaena,Coryphaenidae,Chordata,Teleostei,,2.15092,66.9892933333329,,,,,,True,Occurrence
0000fa67-11e9-4f61-8f86-0819b674b639,Auxis,,Auxis,Scombridae,Chordata,Teleostei,2009-08-04/2009-08-20,9.99,75.64,100.0,,100.0,,Kochi,True,HumanObservation
00015a81-0620-4351-adfb-67225a917bc6,Decapterus punctatus,Decapterus punctatus,Decapterus,Carangidae,Chordata,Teleostei,1968-01-18,10.0,65.0,,,,,,True,preservedspecimen
0002af27-d733-4557-88da-d4e54d81fa02,Tetrosomus gibbosus,Tetrosomus gibbosus,Tetrosomus,Ostraciidae,Chordata,Teleostei,1758,15.0,90.0,,,,,Bay of Bengal,True,HumanObservation
0002cf46-6d6e-4cb8-bd8f-038e83fa411d,Scomberoides commersonnianus,Scomberoides commersonnianus,Scomberoides,Carangidae,Chordata,Teleostei,,11.9829998016,79.8330001831,,,,Inde,,True,PreservedSpecimen
0002f86d-e4b2-4986-ba57-1d9ee4711e57,Cirripectes variolosus,Cirripectes variolosus,Cirripectes,Blenniidae,Chordata,Teleostei,2000/2002,8.26,73.04,,,,,Minicoy Lagoon,True,HumanObservation
0002fcea-069a-4735-8b43-4ebeb321214e,Gymnothorax meleagris,Gymnothorax meleagris,Gymnothorax,Muraenidae,Chordata,Teleostei,,10.0,75.0,7.0,7.0,,Inde,,True,PreservedSpecimen
00030b4b-0f52-4e18-bf90-df8c54ca44e3,Bathygobius cocosensis,Bathygobius cocosensis,Bathygobius,Gobiidae,Chordata,Teleostei,2010-04-02,11.26667,92.68333,0.5,0.0,1.0,,SW coast of island,True,PreservedSpecimen
00034926-868a-4b89-8e0d-d7d4c2d33054,Lampanyctus nobilis,Lampanyctus nobilis,Lampanyctus,Myctophidae,Chordata,Teleostei,,3.775,65.09166667,,,,High Seas,,True,PreservedSpecimen
00047ea4-c2fe-4eb3-9832-eeb70f4410b7,Johnius plagiostoma,Johnius plagiostoma,Johnius,Sciaenidae,Chordata,Teleostei,1963-04-04T18:00:00Z,21.5,91.5,17.0,17.0,17.0,Bangladesh,,True,PreservedSpecimen
0005263e-2b50-4559-85ba-5ac9cbfe58ee,Macolor macularis,Macolor macularis,Macolor,Lutjanidae,Chordata,Teleostei,2024-01-04T06:35:00+05:00,4.6343432636,73.5614085163,,,,,,True,HumanObservation
000671c0-5af2-4c4e-bb4d-97e501556a61,Epinephelus fasciatus,Epinephelus fasciatus,Epinephelus,Epinephelidae,Chordata,Teleostei,1775-07-02T12:00:00Z,11.1166667938,92.8166656494,,,,,Andaman Islands,True,HumanObservation
